impl,threads,workload,ops,key_range,time,throughput,successful,failed
coarse,1,mixed,1000000,100000,1.2910,774603.72,496105,503895
coarse,2,mixed,2000000,100000,2.6214,762949.08,1035343,964657
coarse,4,mixed,4000000,100000,5.7817,691841.96,2115029,1884971
coarse,8,mixed,8000000,100000,14.1004,567358.01,4273947,3726053
coarse,16,mixed,16000000,100000,34.8542,459055.69,8593641,7406359
coarse,32,mixed,32000000,100000,114.2775,280020.02,17234077,14765923
fine,1,mixed,1000000,100000,0.8907,1122656.08,496105,503895
fine,2,mixed,2000000,100000,1.3631,1467195.97,1035352,964648
fine,4,mixed,4000000,100000,1.6376,2442628.46,2114532,1885468
fine,8,mixed,8000000,100000,2.6661,3000615.43,4275428,3724572
fine,16,mixed,16000000,100000,2.5607,6248308.26,8594595,7405405
fine,32,mixed,32000000,100000,5.2304,6118109.91,17232305,14767695
lockfree,1,mixed,1000000,100000,1.1964,835811.96,496105,503895
lockfree,2,mixed,2000000,100000,1.3627,1467681.20,1034471,965529
lockfree,4,mixed,4000000,100000,1.6008,2498799.06,2115812,1884188
lockfree,8,mixed,8000000,100000,1.8239,4386206.69,4273717,3726283
lockfree,16,mixed,16000000,100000,2.3520,6802775.89,8594953,7405047
lockfree,32,mixed,32000000,100000,4.0718,7859022.41,17232900,14767100
coarse,8,insert,8000000,100000,12.9571,617422.32,100000,7900000
coarse,8,readonly,8000000,100000,11.9093,671746.41,3280221,4719779
coarse,8,mixed,8000000,100000,12.4442,642869.32,4268751,3731249
coarse,8,delete,8000000,100000,4.3274,1848703.83,41004,7958996
fine,8,insert,8000000,100000,1.4144,5656274.75,100000,7900000
fine,8,readonly,8000000,100000,1.2965,6170603.32,3280221,4719779
fine,8,mixed,8000000,100000,2.3359,3424803.06,4270598,3729402
fine,8,delete,8000000,100000,0.2115,37826800.19,41004,7958996
lockfree,8,insert,8000000,100000,1.5251,5245700.28,100000,7900000
lockfree,8,readonly,8000000,100000,1.3908,5752163.84,3280221,4719779
lockfree,8,mixed,8000000,100000,1.9413,4120954.32,4270209,3729791
lockfree,8,delete,8000000,100000,0.2682,29826843.86,41004,7958996
coarse,16,mixed,16000000,1000,25.9129,617452.67,8636354,7363646
coarse,16,mixed,16000000,10000,27.6663,578320.12,8639750,7360250
coarse,16,mixed,16000000,100000,32.9398,485734.34,8592049,7407951
coarse,16,mixed,16000000,1000000,51.7249,309328.51,8148945,7851055
fine,16,mixed,16000000,1000,10.4080,1537285.67,8622407,7377593
fine,16,mixed,16000000,10000,4.3228,3701325.50,8638043,7361957
fine,16,mixed,16000000,100000,2.4776,6457937.74,8595954,7404046
fine,16,mixed,16000000,1000000,4.5915,3484734.57,8043318,7956682
lockfree,16,mixed,16000000,1000,1.7430,9179360.03,8628571,7371429
lockfree,16,mixed,16000000,10000,1.7463,9162343.68,8639561,7360439
lockfree,16,mixed,16000000,100000,2.4266,6593492.49,8593114,7406886
lockfree,16,mixed,16000000,1000000,3.9555,4044953.52,8126483,7873517
